Event,Site,Date,Round,White,Black,Result,BlackClock,BlackElo,BlackIsComp,BlackRD,ECO,FICSGamesDBGameNo,PlyCount,Time,TimeControl,WhiteClock,WhiteElo,WhiteIsComp,WhiteRD,AvgEvalOpening,AvgEvalMiddle,AvgEvalEnd,AvgEmtOpening,AvgEmtMiddle,AvgEmtEnd,ResultComment
FICS rated standard game,FICS freechess.org,2022.11.30,?,IFDStock,Aromas,1-0,0:15:00.000,1837,,30.3,A00,513026636,37,21:26:00,900+0,0:15:00.000,2413,Yes,93.0,88.0,281.9166666666667,560.1666666666666,0.39683333333333337,0.44908333333333333,0.4519166666666667,[%emt 4.55] Black resigns
FICS rated standard game,FICS freechess.org,2022.11.30,?,Aromas,IFDStock,0-1,0:15:00.000,2411,Yes,93.4,A10,513026630,40,21:24:00,900+0,0:15:00.000,1838,,30.4,11.285714285714286,-204.15384615384616,-620.4545454545455,0.3782307692307692,0.7732307692307694,0.5523846153846155,[%emt 1.181] White resigns
FICS rated standard game,FICS freechess.org,2022.11.30,?,IFDStock,Aromas,1-0,0:15:00.000,1839,,30.4,C31,513026624,43,21:21:00,900+0,0:15:00.000,2409,Yes,93.9,-14.2,163.21428571428572,634.9285714285714,0.32792857142857146,1.754357142857143,1.0279285714285715,[%emt 1.29] Black resigns
FICS rated standard game,FICS freechess.org,2022.11.30,?,Aromas,IFDStock,0-1,0:15:00.000,2407,Yes,94.4,A40,513026616,64,21:17:00,900+0,0:15:00.000,1840,,30.4,-39.86363636363637,-288.0952380952381,-611.5238095238095,0.6765238095238095,0.5369523809523808,0.5897619047619047,[%emt 1.641] White resigns
FICS rated standard game,FICS freechess.org,2022.11.30,?,JaiMan,hastrman,1-0,0:15:00.000,2017,Yes,23.2,C44,513026607,141,20:57:00,900+0,0:15:00.000,2057,,24.5,86.6875,359.29787234042556,669.1521739130435,2.369765957446808,2.2283404255319144,0.5075000000000001,[%emt 1.408] Black resigns
FICS rated standard game,FICS freechess.org,2022.11.30,?,IFDStock,Aromas,1-0,0:15:00.000,1841,,30.4,A20,513026604,15,21:17:00,900+0,0:15:00.000,2405,Yes,94.9,32.166666666666664,85.0,306.0,0.142,0.6444000000000001,0.39575,[%emt 0.993] Black resigns
FICS rated standard game,FICS freechess.org,2022.11.30,?,Aromas,IFDStock,0-1,0:15:00.000,2403,Yes,95.4,A40,513026599,30,21:15:00,900+0,0:15:00.000,1842,,30.4,114.63636363636364,135.9,-85.77777777777777,0.2681,0.4513,1.4874444444444446,[%emt 1.182] White resigns
FICS rated standard game,FICS freechess.org,2022.11.30,?,IFDStock,Aromas,1-0,0:15:00.000,1843,,30.4,C47,513026596,23,21:15:00,900+0,0:15:00.000,2401,Yes,96.0,20.0,2.0,242.14285714285714,0.157,0.3912857142857143,0.24721428571428575,[%emt 2.395] Black resigns
FICS rated standard game,FICS freechess.org,2022.11.30,?,Aromas,IFDStock,0-1,0:15:00.000,2399,Yes,96.5,A10,513026593,40,21:13:00,900+0,0:15:00.000,1844,,30.4,82.0,-41.07692307692308,-405.61538461538464,0.428,0.502,0.7553076923076923,[%emt 1.326] White resigns
FICS rated standard game,FICS freechess.org,2022.11.30,?,IFDStock,Aromas,1-0,0:15:00.000,1845,,30.5,A00,513026587,4,21:13:00,900+0,0:15:00.000,2397,Yes,97.1,6.0,-45.0,83.0,0.0,0.0,0.1,[%emt 1.533] Black resigns
FICS rated standard game,FICS freechess.org,2022.11.30,?,Aromas,IFDStock,0-1,0:15:00.000,2395,Yes,97.7,A10,513026585,56,21:09:00,900+0,0:15:00.000,1846,,30.5,92.21052631578948,-123.27777777777777,-620.0,0.34961111111111115,0.9220000000000002,0.9040277777777779,[%emt 1.557] White resigns
FICS rated standard game,FICS freechess.org,2022.11.30,?,IFDStock,Aromas,1-0,0:15:00.000,1847,,30.5,A00,513026567,51,21:06:00,900+0,0:15:00.000,2393,Yes,98.3,22.22222222222222,116.41176470588235,408.875,0.37017647058823533,0.95,0.6190625000000001,[%emt 2.211] Black resigns
FICS rated standard game,FICS freechess.org,2022.11.30,?,Aromas,IFDStock,0-1,0:15:00.000,2391,Yes,98.9,A40,513026552,28,21:04:00,900+0,0:15:00.000,1848,,30.5,96.6,41.55555555555556,-370.77777777777777,0.34611111111111115,0.6967777777777777,0.9345555555555555,[%emt 1.511] White resigns
FICS rated standard game,FICS freechess.org,2022.11.30,?,IFDStock,Aromas,1-0,0:15:00.000,1849,,30.5,A00,513026548,37,21:03:00,900+0,0:15:00.000,2389,Yes,99.6,-31.0,53.583333333333336,271.3,0.3500833333333333,0.60075,0.6381666666666667,[%emt 0.1] Black checkmated
FICS rated standard game,FICS freechess.org,2022.11.30,?,Aromas,IFDStock,0-1,0:15:00.000,2386,Yes,100.2,E20,513026540,36,21:02:00,900+0,0:15:00.000,1850,,30.6,15.846153846153847,-99.33333333333333,-522.7142857142857,0.35466666666666663,0.48066666666666674,0.5310909090909092,[%emt 1.198] White resigns
FICS rated standard game,FICS freechess.org,2022.11.30,?,IFDStock,Aromas,1-0,0:15:00.000,1851,,30.6,A00,513026537,63,20:59:00,900+0,0:15:00.000,2383,Yes,101.0,25.863636363636363,269.42857142857144,727.7142857142857,0.3874761904761905,0.4179523809523809,0.41884999999999994,[%emt 0.1] Black resigns
FICS rated standard game,FICS freechess.org,2022.11.30,?,Aromas,IFDStock,0-1,0:15:00.000,2380,Yes,101.7,A10,513026526,38,20:55:00,900+0,0:15:00.000,1852,,30.6,74.84615384615384,-58.0,-515.9583333333334,0.3433333333333333,0.49174999999999996,3.3313750000000004,[%emt 1.21] White resigns
FICS rated standard game,FICS freechess.org,2022.11.30,?,hastrman,JaiMan,1/2-1/2,0:15:00.000,2058,,24.5,D00,513026512,182,20:36:00,900+0,0:15:00.000,2016,Yes,23.3,-49.63934426229508,-169.68333333333334,-0.6333333333333333,2.8557499999999996,0.9372166666666667,0.3650833333333333,[%emt 1.014] Game drawn by repetition
FICS rated standard game,FICS freechess.org,2022.11.30,?,IFDStock,Aromas,1-0,0:15:00.000,1853,,30.6,A00,513026503,31,20:52:00,900+0,0:15:00.000,2377,Yes,102.5,25.0,93.5,443.6,1.0366,0.5934999999999999,1.3065000000000002,[%emt 1.136] Black resigns
FICS rated standard game,FICS freechess.org,2022.11.30,?,Aromas,IFDStock,0-1,0:15:00.000,2374,Yes,103.3,A43,513026492,34,20:51:00,900+0,0:15:00.000,1854,,30.6,-19.833333333333332,-339.45454545454544,-499.54545454545456,0.3421818181818182,0.3724545454545455,0.2742727272727273,[%emt 1.481] White resigns
FICS rated standard game,FICS freechess.org,2022.11.30,?,IFDStock,Aromas,1-0,0:15:00.000,1855,,30.7,A03,513026486,41,20:50:00,900+0,0:15:00.000,2371,Yes,104.1,-28.214285714285715,338.3076923076923,616.3846153846154,0.4616923076923076,0.45299999999999996,0.5267692307692308,[%emt 1.344] Black resigns
FICS rated standard game,FICS freechess.org,2022.11.30,?,Aromas,IFDStock,0-1,0:15:00.000,2368,Yes,105.0,B00,513026480,48,20:48:00,900+0,0:15:00.000,1856,,30.7,-22.58823529411765,-231.4375,-557.2727272727273,0.4609375,0.9414375000000001,0.4462,[%emt 0.1] White checkmated
FICS rated standard game,FICS freechess.org,2022.11.30,?,IFDStock,Aromas,1-0,0:15:00.000,1857,,30.7,C25,513026469,43,20:46:00,900+0,0:15:00.000,2365,Yes,105.9,101.53333333333333,296.35714285714283,613.3571428571429,0.38528571428571423,0.45442857142857146,1.3654285714285714,[%emt 1.375] Black resigns
FICS rated standard game,FICS freechess.org,2022.11.30,?,Aromas,IFDStock,0-1,0:15:00.000,2362,Yes,106.9,A40,513026460,50,20:44:00,900+0,0:15:00.000,1858,,30.7,96.29411764705883,-32.5625,-109.76666666666667,0.3316875,0.44818749999999996,0.5207499999999999,[%emt 0.1] White checkmated
FICS rated standard game,FICS freechess.org,2022.11.30,?,IFDStock,Aromas,1-0,0:15:00.000,1859,,30.8,A03,513026452,29,20:42:00,900+0,0:15:00.000,2358,Yes,107.9,37.6,253.22222222222223,528.2777777777778,0.47233333333333327,0.5498888888888889,0.1726666666666667,[%emt 1.038] Black resigns
FICS rated standard game,FICS freechess.org,2022.11.30,?,Aromas,IFDStock,0-1,0:15:00.000,2354,Yes,109.0,B08,513026445,44,20:41:00,900+0,0:15:00.000,1860,,30.8,11.6,-231.14285714285714,-526.8214285714286,0.25492857142857134,0.4682857142857143,0.7318214285714286,[%emt 0.923] White resigns
FICS rated standard game,FICS freechess.org,2022.11.30,?,IFDStock,Aromas,1-0,0:15:00.000,1861,,30.8,D00,513026439,35,20:40:00,900+0,0:15:00.000,2350,Yes,110.1,-51.583333333333336,132.1818181818182,378.22727272727275,0.16054545454545455,0.42927272727272725,0.5872272727272727,[%emt 1.213] Black resigns
FICS rated standard game,FICS freechess.org,2022.11.30,?,Aromas,IFDStock,0-1,0:15:00.000,2346,Yes,111.3,A40,513026431,62,20:35:00,900+0,0:15:00.000,1862,,30.8,38.76190476190476,-140.25,-478.675,0.3515,1.4210999999999998,0.342675,[%emt 1.802] White resigns
FICS rated standard game,FICS freechess.org,2022.11.30,?,JaiMan,hastrman,1-0,0:15:00.000,2023,Yes,23.3,B50,513026419,91,20:16:00,900+0,0:15:00.000,2051,,24.6,51.935483870967744,457.1,955.2857142857143,2.2771000000000003,2.0803,2.3362333333333334,[%emt 1.484] Black resigns
FICS rated standard game,FICS freechess.org,2022.11.30,?,Aromas,IFDStock,0-1,0:15:00.000,2342,Yes,112.6,B00,513026415,50,20:33:00,900+0,0:15:00.000,1863,,30.9,4.411764705882353,-171.3125,-238.33333333333334,0.397875,0.649,0.6950624999999999,[%emt 0.1] White checkmated
FICS rated standard game,FICS freechess.org,2022.11.30,?,hastrman,JaiMan,1-0,0:15:00.000,2060,,24.6,C41,513026342,199,19:49:00,900+0,0:15:00.000,2014,Yes,23.4,-33.62686567164179,-27.71212121212121,829.265625,2.266848484848485,1.6295303030303032,0.5029848484848484,[%emt 0.523] Black checkmated
FICS rated standard game,FICS freechess.org,2022.11.30,?,JaiMan,hastrman,1-0,0:15:00.000,2021,Yes,23.4,C00,513026279,65,19:37:00,900+0,0:15:00.000,2053,,24.6,-15.363636363636363,-98.0,-141.96875,3.243904761904762,3.1545714285714284,0.7814761904761904,[%emt 7.062] Black checkmated
FICS rated standard game,FICS freechess.org,2022.11.30,?,karadepau,TheGrey,1-0,0:15:00.000,1861,,28.2,B37,513025706,101,17:02:00,900+0,0:15:00.000,2167,,87.8,34.8235294117647,49.81818181818182,148.140625,0.4945757575757576,3.982363636363636,1.1941363636363636,[%emt 1.28] Black resigns
FICS rated standard game,FICS freechess.org,2022.11.30,?,TheGrey,karadepau,0-1,0:15:00.000,2160,,89.3,C80,513025562,78,16:41:00,900+0,0:15:00.000,1864,,28.3,8.25925925925926,-242.30769230769232,-348.74,0.8091153846153847,2.4103846153846153,4.5328800000000005,[%emt 10.79] White resigns
FICS rated standard game,FICS freechess.org,2022.11.30,?,rodnojo,MichaelOgbeide,1-0,0:15:00.000,2029,,37.1,C00,513025330,65,16:07:00,900+0,0:15:00.000,2026,,31.2,115.72727272727273,182.85714285714286,425.7142857142857,1.3035714285714288,2.6964761904761905,1.5566428571428572,[%emt 14.38] Black resigns
FICS rated standard game,FICS freechess.org,2022.11.30,?,hecklepeckle,damouno,0-1,0:15:00.000,2263,,48.7,B28,513025293,92,15:56:00,900+0,0:15:00.000,1761,,33.7,3.4838709677419355,124.03333333333333,-255.61666666666667,1.0647,2.0120666666666667,5.46815,[%emt 0.1] White forfeits by disconnection
FICS rated standard game,FICS freechess.org,2022.11.30,?,scalaQueen,JaiMan,1-0,0:15:00.000,2062,,24.6,C30,513025249,197,15:41:00,900+0,0:15:00.000,2037,Yes,25.8,67.86363636363636,340.2153846153846,275.3203125,1.4814153846153844,1.5807538461538462,0.7699769230769231,[%emt 0.1] Black resigns
FICS rated standard game,FICS freechess.org,2022.11.30,?,MichaelOgbeide,rodnojo,0-1,0:15:00.000,2018,,31.4,E72,513025233,52,15:57:00,900+0,0:15:00.000,2037,,37.3,30.944444444444443,-69.58823529411765,-316.05882352941177,0.9085294117647059,1.802235294117647,2.644823529411765,[%emt 4.538] White resigns
FICS rated standard game,FICS freechess.org,2022.11.30,?,rodnojo,MichaelOgbeide,1-0,0:15:00.000,2046,,37.5,C00,513025185,121,15:31:00,900+0,0:15:00.000,2009,,31.5,34.31707317073171,95.9,439.875,3.983625,2.2877,1.4317500000000003,[%emt 0.786] Black resigns
FICS rated standard game,FICS freechess.org,2022.11.30,?,damouno,hecklepeckle,1-0,0:15:00.000,1762,,33.8,D02,513025173,109,15:38:00,900+0,0:15:00.000,2262,,48.8,185.40540540540542,573.5,647.2857142857143,1.3046666666666666,2.218777777777777,0.9234722222222221,[%emt 0.948] Black checkmated
FICS rated standard game,FICS freechess.org,2022.11.30,?,GriffySr,family,1-0,0:15:00.000,2080,,49.7,D46,513025151,121,15:43:00,900+0,0:15:00.000,2201,Yes,40.3,-33.53658536585366,-276.325,-280.1578947368421,0.237325,0.7516499999999999,1.408325,[%emt 0.1] Black checkmated
FICS rated standard game,FICS freechess.org,2022.11.30,?,JaiMan,scalaQueen,1-0,0:15:00.000,2045,Yes,25.8,B40,513025093,109,15:25:00,900+0,0:15:00.000,2054,,24.6,257.35135135135135,673.7222222222222,1409.1,1.3526944444444444,0.5859166666666665,3.6017222222222216,[%emt 1.904] Black checkmated
FICS rated standard game,FICS freechess.org,2022.11.30,?,scalaQueen,JaiMan,1-0,0:15:00.000,2063,,24.6,C20,513025021,31,15:22:00,900+0,0:15:00.000,2036,Yes,25.9,8.636363636363637,6.9,235.875,0.333,0.4396,2.4828,[%emt 0.311] Black checkmated
FICS rated standard game,FICS freechess.org,2022.11.30,?,czytron,rodnojo,0-1,0:15:00.000,1999,,31.6,B33,513024999,104,14:53:00,900+0,0:15:00.000,2079,,111.2,-51.6,113.17647058823529,-346.36290322580646,1.6179411764705884,3.269382352941176,1.5225735294117646,[%emt 3.433] White forfeits on time
FICS rated standard game,FICS freechess.org,2022.11.30,?,mcstorytaller,damouno,1-0,0:15:00.000,2277,,48.9,C02,513024987,128,15:06:00,900+0,0:15:00.000,1847,,26.6,2.046511627906977,5.285714285714286,152.3,0.6177857142857144,1.7754047619047617,0.7243809523809523,[%emt 2.57] Black resigns
FICS rated standard game,FICS freechess.org,2022.11.30,?,ArasanX,exeComp,1/2-1/2,0:20:00.000,2711,Yes,37.8,E14,513024919,342,14:01:00,1200+5,0:20:00.000,2774,Yes,38.8,41.73913043478261,0.2807017543859649,0.24778761061946902,3.870421052631579,0.7787719298245613,0.47891150442477876,[%emt 0.1] Game drawn by the 50 move rule
FICS rated standard game,FICS freechess.org,2022.11.30,?,Notarious,ArasanX,1/2-1/2,0:15:00.000,2773,Yes,39.0,B76,513024515,127,13:31:00,900+0,0:15:00.000,2808,Yes,46.5,76.32558139534883,70.30952380952381,23.095238095238095,1.6933809523809524,3.2609523809523813,0.6373095238095239,[%emt 8.023] Game drawn by repetition
FICS rated standard game,FICS freechess.org,2022.11.30,?,SRCorney,blore,0-1,0:15:00.000,2078,,26.8,A45,513024493,150,13:25:00,900+0,0:15:00.000,2000,,49.0,-165.13725490196077,-672.78,-2251.681818181818,3.30508,1.18266,0.8680204081632653,[%emt 1.904] White checkmated
FICS rated standard game,FICS freechess.org,2022.11.30,?,Aromas,IFDThor,0-1,0:15:00.000,2276,Yes,35.5,A50,513024073,102,12:41:00,900+0,0:15:00.000,1883,,31.0,132.34285714285716,245.02941176470588,51.15151515151515,0.31420588235294117,0.34376470588235297,0.5105151515151517,[%emt 0.1] White resigns
FICS rated standard game,FICS freechess.org,2022.11.30,?,Aromas,IFDThor,0-1,0:15:00.000,2274,Yes,35.6,A50,513024030,26,12:40:00,900+0,0:15:00.000,1885,,31.0,47.666666666666664,177.25,-196.75,0.213125,0.173625,0.608375,[%emt 0.1] White resigns
FICS rated standard game,FICS freechess.org,2022.11.30,?,IFDThor,Aromas,1-0,0:15:00.000,1887,,31.0,D45,513024026,79,12:35:00,900+0,0:15:00.000,2272,Yes,35.7,-29.14814814814815,19.23076923076923,266.03846153846155,0.29319230769230764,0.6275,1.6206153846153848,[%emt 0.1] Black resigns
FICS rated standard game,FICS freechess.org,2022.11.30,?,Aromas,IFDThor,0-1,0:15:00.000,2270,Yes,35.7,A50,513024001,52,12:33:00,900+0,0:15:00.000,1889,,31.1,-12.166666666666666,-248.58823529411765,-504.06666666666666,0.2828823529411764,0.32235294117647056,0.32776470588235296,[%emt 0.1] White resigns
FICS rated standard game,FICS freechess.org,2022.11.30,?,exeComp,HANOTODEWAMAUT,1-0,0:15:00.000,1434,,91.8,A40,513023956,55,12:06:00,900+5,0:15:00.000,2711,Yes,38.0,76.78947368421052,261.94444444444446,649.8,2.866888888888889,5.498333333333333,2.166166666666667,[%emt 0.1] Black checkmated
FICS rated standard game,FICS freechess.org,2022.11.30,?,carmelovita,Notarious,0-1,0:15:00.000,2808,Yes,46.9,D04,513023856,28,12:06:00,900+5,0:15:00.000,1555,,28.7,-11.5,-113.22222222222223,-395.57142857142856,0.24766666666666667,2.297555555555556,2.388666666666667,[%emt 0.598] White checkmated
FICS rated standard game,FICS freechess.org,2022.11.30,?,Notarious,HANOTODEWAMAUT,1-0,0:15:00.000,1434,,91.9,C00,513023817,47,11:52:00,900+5,0:15:00.000,2808,Yes,46.9,149.0625,509.0,432.25,2.4642666666666666,3.8985999999999996,3.8670333333333335,[%emt 0.1] Black checkmated
FICS rated standard game,FICS freechess.org,2022.11.30,?,HANOTODEWAMAUT,Notarious,0-1,0:15:00.000,2808,Yes,46.9,D00,513023729,46,11:36:00,900+5,0:15:00.000,1434,,92.0,-33.75,-328.26666666666665,-677.3076923076923,2.283866666666667,5.669733333333332,4.210866666666667,[%emt 0.507] White checkmated
FICS rated standard game,FICS freechess.org,2022.11.30,?,Betin,kunde,0-1,0:15:00.000,2074,,37.0,D03,513023653,96,11:20:00,900+0,0:15:00.000,1955,,38.4,-10.121212121212121,-182.40625,-294.7741935483871,0.85675,3.92759375,1.7626451612903227,[%emt 5.412] White resigns
FICS rated standard game,FICS freechess.org,2022.11.30,?,Wisechill,exeComp,0-1,0:15:00.000,2711,Yes,37.9,D00,513023484,42,10:47:00,900+5,0:15:00.000,1448,,55.5,11.866666666666667,-274.07142857142856,-635.4545454545455,5.423357142857142,2.878571428571429,2.880846153846154,[%emt 3.134] White forfeits by disconnection
FICS rated standard game,FICS freechess.org,2022.11.30,?,Notarious,nihanatabed,1-0,0:15:00.000,1702,,136.4,B12,513023443,41,10:46:00,900+5,0:15:00.000,2808,Yes,46.9,139.85714285714286,377.61538461538464,347.1666666666667,2.5328461538461537,3.536769230769231,3.5373846153846147,[%emt 0.481] Black checkmated
FICS rated standard game,FICS freechess.org,2022.11.30,?,Floerkeli,GriffyJr,0-1,0:15:00.000,2102,Yes,38.5,A01,513023356,72,10:30:00,900+0,0:15:00.000,1907,,21.7,65.64,-0.75,-524.1904761904761,0.4519583333333334,1.309625,2.154086956521739,[%emt 0.1] White checkmated
FICS rated standard game,FICS freechess.org,2022.11.30,?,HANOTODEWAMAUT,Notarious,0-1,0:15:00.000,2808,Yes,46.9,C20,513023328,42,10:21:00,900+5,0:15:00.000,1434,,92.0,-143.53333333333333,-495.2142857142857,-889.3333333333334,0.9627857142857142,3.492928571428572,3.8042307692307697,[%emt 0.1] White checkmated
FICS rated standard game,FICS freechess.org,2022.11.30,?,GriffyJr,Floerkeli,1-0,0:15:00.000,1911,,21.8,C02,513023309,101,10:16:00,900+0,0:15:00.000,2098,Yes,38.7,20.852941176470587,44.09090909090909,704.8939393939394,0.30648484848484847,2.5266363636363636,0.9500151515151515,[%emt 0.1] Black resigns
FICS rated standard game,FICS freechess.org,2022.11.30,?,blore,YurijNone,0-1,0:15:00.000,2245,,75.7,A52,513023285,156,10:00:00,900+0,0:15:00.000,2082,,26.8,13.150943396226415,-121.5,-524.6,1.276173076923077,1.750423076923077,1.5478039215686277,[%emt 10.236] White resigns
FICS rated standard game,FICS freechess.org,2022.11.30,?,Aromas,Speyside,0-1,0:15:00.000,2107,Yes,51.8,B27,513023199,107,09:46:00,900+0,0:15:00.000,1893,,31.1,30.77777777777778,-145.62857142857143,-454.2285714285714,2.937457142857143,2.4196,1.2906,[%emt 2.533] White resigns
FICS rated standard game,FICS freechess.org,2022.11.30,?,Hutnik,megielszmergiel,1/2-1/2,1:00:00.000,2768,Yes,55.9,A28,513023089,80,09:45:00,3600+5,1:00:00.000,2817,Yes,54.7,16.25925925925926,15.692307692307692,22.403846153846153,0.11226923076923077,0.11965384615384617,0.10832692307692308,[%emt 0.125] Game drawn by mutual agreement
FICS rated standard game,FICS freechess.org,2022.11.30,?,megielszmergiel,Hutnik,1/2-1/2,1:00:00.000,2818,Yes,55.3,A28,513023058,51,09:44:00,3600+5,1:00:00.000,2767,Yes,56.6,16.944444444444443,31.352941176470587,-5.375,0.11294117647058823,0.12182352941176472,0.129,[%emt 0.156] Game drawn by repetition
FICS rated standard game,FICS freechess.org,2022.11.30,?,Hutnik,megielszmergiel,1/2-1/2,1:00:00.000,2766,Yes,57.3,C67,513023056,72,09:44:00,3600+5,1:00:00.000,2819,Yes,56.0,37.72,33.166666666666664,14.73913043478261,0.11612499999999999,0.12229166666666669,0.11600000000000002,[%emt 0.125] Game drawn by repetition
FICS rated standard game,FICS freechess.org,2022.11.30,?,megielszmergiel,Hutnik,1/2-1/2,1:00:00.000,2820,Yes,56.7,A28,513023054,51,09:44:00,3600+5,1:00:00.000,2764,Yes,58.1,18.77777777777778,32.88235294117647,-0.125,0.11647058823529412,0.11900000000000001,0.129125,[%emt 0.157] Game drawn by repetition
FICS rated standard game,FICS freechess.org,2022.11.30,?,Hutnik,megielszmergiel,1/2-1/2,1:00:00.000,2762,Yes,58.8,D35,513023052,137,08:10:00,3600+5,1:00:00.000,2822,Yes,57.4,21.347826086956523,-9.28888888888889,-2.0555555555555554,0.11864444444444441,4.088955555555556,5.897611111111111,[%emt 0.1] Game drawn by mutual agreement
FICS rated standard game,FICS freechess.org,2022.11.30,?,scalaQueen,JaiMan,0-1,0:15:00.000,2055,,24.5,C41,513022930,146,08:59:00,900+0,0:15:00.000,2042,Yes,25.8,-36.42857142857143,-84.0625,-427.7647058823529,1.5705416666666665,2.3925,0.7046354166666666,[%emt 2.125] White checkmated
FICS rated standard game,FICS freechess.org,2022.11.30,?,scalaQueen,HappyPawns,0-1,0:15:00.000,2706,Yes,70.1,C78,513022593,58,07:56:00,900+0,0:15:00.000,2037,Yes,25.8,32.7,31.526315789473685,-383.45454545454544,0.8480000000000001,2.836631578947369,2.0231578947368423,[%emt 0.1] White checkmated
FICS rated standard game,FICS freechess.org,2022.11.30,?,megielszmergiel,Hutnik,1/2-1/2,1:00:00.000,2824,Yes,58.2,D39,513022578,90,07:38:00,3600+5,1:00:00.000,2760,Yes,59.6,34.774193548387096,20.466666666666665,0.8275862068965517,0.11333333333333334,0.11926666666666669,5.5074482758620675,[%emt 125.976] Game drawn by mutual agreement
FICS rated standard game,FICS freechess.org,2022.11.30,?,Hutnik,megielszmergiel,1/2-1/2,1:00:00.000,2758,Yes,60.5,A28,513022432,51,07:37:00,3600+5,1:00:00.000,2826,Yes,58.9,6.888888888888889,28.294117647058822,-1.8125,0.106,0.12605882352941178,0.11737500000000001,[%emt 0.1] Game drawn by repetition
FICS rated standard game,FICS freechess.org,2022.11.30,?,HappyPawns,kamenozrout,1-0,0:15:00.000,2195,Yes,52.9,A10,513022341,77,06:57:00,900+1,0:15:00.000,2705,Yes,70.2,48.96153846153846,280.52,234.11111111111111,2.5539199999999997,3.29188,1.4940999999999998,[%emt 4.037] Black resigns
FICS rated standard game,FICS freechess.org,2022.11.30,?,leevorotation,kunde,1-0,0:15:00.000,2075,,37.4,D00,513021614,83,04:11:00,900+0,0:15:00.000,2010,,51.8,2.25,56.25925925925926,73.41666666666667,0.6447777777777779,1.0460370370370369,0.7359444444444445,[%emt 1.479] Black resigns
